Name,City,State,Rank,Category
NITTE,Mangaluru,Karnataka,51,University
Bharath Institute of Higher Education & Research,Chennai,Tamil Nadu,148,University
Christ University,Bengaluru,Karnataka,160,University
"Jain university,Bangalore",Bengaluru,Karnataka,149,University
Tezpur University,Tezpur,Assam,119,University
"Calicut University, Thenhipalem, Malapuram",Malappuram,Kerala,19,University
Birla Institute of Technology,Ranchi,Jharkhand,168,University
Tamil Nadu Agricultural University,Coimbatore,Tamil Nadu,8,University
Shoolini University of Biotechnology and Management Sciences,Solan,Himachal Pradesh,203,University
Guru Gobind Singh Indraprastha University,New Delhi,Delhi,180,University
"Vignan's Foundation for Science, Technology and Research",Guntur,Andhra Pradesh,134,University
Mizoram University,Aizawl,Mizoram,105,University
Sri Balaji Vidyapeeth Mahatma Gandhi Medical College Campus,Puducherry,Pondicherry,44,University
Maharishi Markandeshwar,Ambala,Haryana,115,University
"G.B. Pant Universtiy of Agriculture and Technology, Pantnagar",Pantnagar,Uttarakhand,55,University
North Eastern Hill University,Shillong,Meghalaya,132,University
Avinashilingam Institute for Home Science & Higher Education for Women,Coimbatore,Tamil Nadu,28,University
Chettinad Academy of Research and Education,"Kelambakkam, Chengalpattu District",Tamil Nadu,33,University
"Manonmaniam Sundaranar University, Tirunelveli",Tirunelveli,Tamil Nadu,102,University
International Institute of Information Technology Hyderabad,Hyderabad,Telangana,157,University
Yenepoya University,Mangaluru,Karnataka,46,University
The University of Burdwan,Bardhaman,West Bengal,187,University
Sharda University,Greater Noida,Uttar Pradesh,140,University
Gauhati University,Guwahati,Assam,208,University
Central University of Tamil Nadu,Tiruvarur,Tamil Nadu,92,University
"University of Agricultural Sciences, Bangalore",Bangalore,Karnataka,26,University
Bharati Vidyapeeth,Pune,Maharashtra,116,University
M. G. R. Educational and Research Institute,Chennai,Tamil Nadu,85,University
Utkal University,Bhubaneswar,Odisha,205,University
"Amity University Haryana, Gurgaon","Gurugram, Haryana",Haryana,151,University
Netaji Subhas University of Technology (NSUT),South West,Delhi,88,University
Maharshi Dayanand University,Rohtak,Haryana,215,University
Visva Bharati,Santiniketan,West Bengal,183,University
Tata Institute of Social Sciences,Mumbai,Maharashtra,191,University
Chaudhary Charan Singh Haryana Agricultural University,Hisar,Haryana,7,University
Central University of Punjab,Bathinda,Punjab,173,University
Indian Institute of Science,Bengaluru,Karnataka,1,University
Jawaharlal Nehru University,New Delhi,Delhi,19,University
Jamia Millia Islamia,New Delhi,Delhi,10,University
Jadavpur University,Kolkata,West Bengal,7,University
Banaras Hindu University,Varanasi,Uttar Pradesh,14,University
Manipal Academy of Higher Education-Manipal,Manipal,Karnataka,6,University
Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,9,University
